,Tamanho_Matriz,Tamanho_Pacote,Probabilidade_Erro,Bits_Errados_Inseridos,Bits_Corrompidos_Apos_Dec,Taxa_Bits_Corrompidos_Apos_Dec,Pacotes_Corrompidos,Taxa_Pacotes_Corrompidos,Tempo_Exec
0,"(4, 4)",100,5e-05,65,0,0.0,0,0.0,1.31
1,"(4, 4)",100,0.0005,595,1,0.000125,1,0.1,1.28
2,"(4, 4)",100,0.005,6001,475,0.059375,241,24.099999999999998,1.36
3,"(4, 4)",1000,5e-05,581,0,0.0,0,0.0,13.8
4,"(4, 4)",1000,0.0005,5933,49,0.0006125,26,2.6,12.2
5,"(4, 4)",1000,0.005,60196,4544,0.0568,914,91.4,12.5
6,"(4, 4)",10000,5e-05,5945,6,7.499999999999999e-06,4,0.4,124.
7,"(4, 4)",10000,0.0005,59577,477,0.00059625,210,21.0,125.
8,"(4, 4)",10000,0.005,600403,45665,0.05708125,1000,100.0,127.
9,"(6, 6)",100,5e-05,53,4000,0.5,1000,100.0,1.20
10,"(6, 6)",100,0.0005,556,7003,0.8753749999999999,1000,100.0,1.30
11,"(6, 6)",100,0.005,5243,4857,0.607125,1000,100.0,0.96
12,"(6, 6)",1000,5e-05,525,4000,0.05,1000,100.0,10.2
13,"(6, 6)",1000,0.0005,5257,4079,0.050987500000000005,1000,100.0,10.2
14,"(6, 6)",1000,0.005,53068,13582,0.169775,1000,100.0,11.7
15,"(6, 6)",10000,5e-05,5394,4004,0.005005,1000,100.0,108.
16,"(6, 6)",10000,0.0005,53366,5998,0.007497500000000001,1000,100.0,110.
17,"(6, 6)",10000,0.005,533217,92726,0.11590750000000001,1000,100.0,101.
18,"(8, 8)",100,5e-05,51,18000,2.25,1000,100.0,0.84
19,"(8, 8)",100,0.0005,441,16008,2.001,1000,100.0,0.86
20,"(8, 8)",100,0.005,4761,16285,2.035625,1000,100.0,0.85
21,"(8, 8)",1000,5e-05,505,1,1.2499999999999999e-05,1,0.1,9.75
22,"(8, 8)",1000,0.0005,4803,147,0.0018375,73,7.3,9.49
23,"(8, 8)",1000,0.005,49751,13068,0.16335,999,99.9,9.02
24,"(8, 8)",10000,5e-05,4969,25,3.125e-05,14,1.4000000000000001,97.3
25,"(8, 8)",10000,0.0005,49620,1574,0.0019675,546,54.6,95.4
26,"(8, 8)",10000,0.005,499934,135950,0.1699375,1000,100.0,91.2
